MPN,Manufacturer,Title,URL,Description
MPQ8626GD,MPS,MPQ8626 public MPS product page and datasheet,https://www.monolithicpower.com/en/mpq8626.html,Public manufacturer page used by the V1 power-family validation smoke.
MPQ8626GD-Z,MPS,MPQ8626 public MPS product page and datasheet,https://www.monolithicpower.com/en/mpq8626.html,Public manufacturer page used by the V1 power-family validation smoke.
