MPN,Manufacturer,Title,URL,ReviewStatus,Source,LicenseNote,LocalPath,SHA256
XL1509-12E1,XLSEMI,XL1509 public XLSEMI datasheet Rev 2.6,https://www.xlsemi.com/datasheet/XL1509-EN.pdf,approved,xlsemi.com,Public manufacturer datasheet PDF; ordering codes include XL1509-12E1; byte hash verified on 2026-07-13.,xl1509.pdf,d0226589787aa1ec629f0a1365aec4e017799ae79594891fa48f7733b4c1ebc2
EG2132,EG,EG2132 public EGmicro datasheet V1.1,https://www.egmicro.com/static/doc/%E5%8A%9F%E7%8E%87%E9%A9%B1%E5%8A%A8%E8%8A%AF%E7%89%87/%E5%8D%95%E7%9B%B8%E5%8D%8A%E6%A1%A5/EG2132%20%E4%B8%AD%E5%8E%8B300V1A%E5%8D%8A%E6%A1%A5%E9%A9%B1%E5%8A%A8%E8%8A%AF%E7%89%87%E6%95%B0%E6%8D%AE%E6%89%8B%E5%86%8C.pdf,approved,egmicro.com,Public manufacturer datasheet PDF V1.1; byte hash verified on 2026-07-13.,eg2132.pdf,0142afa83dc1ca4b36000728a76f687647139a790fc0aeb1abc95a9ef8c14e00
STM32G030C8T6,ST,STM32G030x6/x8 public ST datasheet DS12991 Rev 6,https://www.st.com/resource/en/datasheet/stm32g030c8.pdf,approved,st.com,Public manufacturer datasheet PDF DS12991 Rev 6; byte hash verified on 2026-07-13.,stm32g030.pdf,b86b1fa79171e8ed521745305bff03d43d75f07729c077e0c4e7badc896711d3
